UID          PID    PPID  C STIME TTY          TIME CMD
root        1058       1  0 15:52 ?        00:00:00 /usr/sbin/ModemManager
syslog      1092       1  0 15:52 ?        00:00:00 /usr/sbin/rsyslogd -n -iNONE
root        1134       1  0 15:52 ?        00:00:00 /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock
root        1385       1  0 15:52 ?        00:00:00 /usr/sbin/watchdog
root        1421       1  0 15:52 ?        00:00:00 /usr/lib/systemd/systemd-machined
openclaw    1529    1031  2 15:53 ?        00:00:45 openclaw-gateway
openclaw    1672       1  0 15:53 ?        00:00:00 /usr/lib/code-server/lib/node /usr/lib/code-server --bind-addr 127.0.0.1:6969
openclaw    1698    1672  0 15:53 ?        00:00:00 /usr/lib/code-server/lib/node /usr/lib/code-server/out/node/entry
root        1757       2  0 15:53 ?        00:00:00 [psimon]
caddy       1759       1  0 15:53 ?        00:00:00 /usr/bin/caddy run --environ --config /etc/caddy/Caddyfile
root        2689       2  0 16:05 ?        00:00:00 [kworker/u4:0-iou_exit]
root        2715       2  0 16:07 ?        00:00:00 [kworker/0:0-events]
root        2775       2  0 16:13 ?        00:00:00 [kworker/u4:3-iou_exit]
root        2798       1  0 16:14 ?        00:00:02 /usr/libexec/fwupd/fwupd
root        2805       1  0 16:14 ?        00:00:00 /usr/libexec/upowerd
root        2829       1  0 16:14 ?        00:00:00 gpg-agent --homedir /var/lib/fwupd/gnupg --use-standard-socket --daemon
root        2865       2  0 16:16 ?        00:00:00 [kworker/1:0-cgroup_release]
root        2866       2  0 16:16 ?        00:00:00 [kworker/1:2-events]
root        2960       2  0 16:16 ?        00:00:00 [kworker/0:1-events]
root        3176       2  0 16:25 ?        00:00:00 [kworker/u4:1-events_power_efficient]
root        3193     953  0 16:27 ?        00:00:00 sshd: root@pts/0
root        3197       1  0 16:27 ?        00:00:00 /usr/lib/systemd/systemd --user
root        3198       2  0 16:27 ?        00:00:00 [kworker/1:1-cgroup_free]
root        3199    3197  0 16:27 ?        00:00:00 (sd-pam)
root        3204       2  0 16:27 ?        00:00:00 [psimon]
root        3268    3193  0 16:27 pts/0    00:00:00 -bash
root        3362    3268  0 16:27 pts/0    00:00:00 ps -ef
